#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"12014719991";"08/03/2022 / 12:50:01";"GOLL4";"C";"1500";"0,00";"executada";"saída";"1500";"12,99";"-0,20";"-1,56";"-300,00"
"12014640370";"08/03/2022 / 12:40:00";"GOLL4";"V";"1500";"0,00";"executada";"entrada";"1500";"12,79";"-";"-";"-"
"12014557689";"08/03/2022 / 12:30:01";"GOLL4";"V";"1500";"0,00";"executada";"saída";"1500";"12,84";"-0,19";"-1,48";"-290,00"
"12014482329";"08/03/2022 / 12:20:01";"GOLL4";"C";"1500";"0,00";"executada";"entrada";"1500";"13,03";"-";"-";"-"
"12008501082";"07/03/2022 / 15:17:24";"GOLL4";"C";"1500";"0,00";"executada";"saída";"1500";"12,84";"0,43";"3,22";"640,00"
"12007476965";"07/03/2022 / 13:30:01";"GOLL4";"V";"1500";"0,00";"executada";"entrada";"1500";"13,27";"-";"-";"-"
"12006635028";"07/03/2022 / 11:10:02";"GOLL4";"V";"1300";"0,00";"executada";"saída";"1300";"14,46";"-0,18";"-1,24";"-236,00"
"12006275341";"07/03/2022 / 10:30:01";"GOLL4";"C";"1300";"0,00";"executada";"entrada";"1300";"14,64";"-";"-";"-"
"11993904322";"04/03/2022 / 16:50:00";"GOLL4";"C";"1300";"0,00";"executada";"saída";"1300";"14,80";"0,40";"2,61";"515,00"
"11992596114";"04/03/2022 / 13:00:01";"GOLL4";"V";"1300";"0,00";"executada";"entrada";"1300";"15,20";"-";"-";"-"
"11992060238";"04/03/2022 / 11:20:01";"GOLL4";"V";"1200";"0,00";"executada";"saída";"1200";"15,82";"-0,20";"-1,23";"-236,00"
"11991882622";"04/03/2022 / 10:40:01";"GOLL4";"C";"1200";"0,00";"executada";"entrada";"1200";"16,02";"-";"-";"-"
"11988466927";"03/03/2022 / 16:50:00";"GOLL4";"C";"1200";"0,00";"executada";"saída";"1200";"16,21";"0,35";"2,11";"420,00"
"11987170419";"03/03/2022 / 13:10:00";"GOLL4";"V";"1200";"0,00";"executada";"entrada";"1200";"16,56";"-";"-";"-"
"11982277827";"02/03/2022 / 16:50:03";"GOLL4";"V";"1100";"0,00";"executada";"saída";"1100";"16,79";"0,00";"0,00";"0,00"
"11981963469";"02/03/2022 / 16:00:00";"GOLL4";"C";"1100";"0,00";"executada";"entrada";"1100";"16,79";"-";"-";"-"
"11981695489";"02/03/2022 / 15:10:04";"GOLL4";"C";"1100";"0,00";"executada";"saída";"1100";"16,70";"-0,01";"-0,05";"-10,00"
"11980961329";"02/03/2022 / 13:20:01";"GOLL4";"V";"1100";"0,00";"executada";"entrada";"1100";"16,69";"-";"-";"-"
"11961654988";"25/02/2022 / 12:50:00";"GOLL4";"C";"1100";"0,00";"executada";"saída";"1100";"17,48";"-0,11";"-0,63";"-121,00"
"11961301241";"25/02/2022 / 12:00:01";"GOLL4";"V";"1100";"0,00";"executada";"entrada";"1100";"17,37";"-";"-";"-"
"11960831891";"25/02/2022 / 10:50:01";"GOLL4";"V";"1100";"0,00";"executada";"saída";"1100";"17,28";"-0,18";"-1,03";"-198,00"
"11960765608";"25/02/2022 / 10:40:01";"GOLL4";"C";"1100";"0,00";"executada";"entrada";"1100";"17,46";"-";"-";"-"
"11956467731";"24/02/2022 / 14:50:01";"GOLL4";"V";"1100";"0,00";"executada";"saída";"1100";"16,82";"-0,15";"-0,88";"-165,00"
"11956428984";"24/02/2022 / 14:40:00";"GOLL4";"C";"1100";"0,00";"executada";"entrada";"1100";"16,97";"-";"-";"-"
"11956300283";"24/02/2022 / 14:20:00";"GOLL4";"V";"1100";"0,00";"executada";"saída";"1100";"16,93";"-0,13";"-0,76";"-142,00"
"11955104723";"24/02/2022 / 10:50:01";"GOLL4";"C";"1100";"0,00";"executada";"entrada";"1100";"17,06";"-";"-";"-"
"11950844139";"23/02/2022 / 16:50:02";"GOLL4";"C";"1100";"0,00";"executada";"saída";"1100";"18,09";"-0,12";"-0,67";"-132,00"
