#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"8756752819";"06/02/2020 / 16:50:00";"MGLU3";"C";"300";"56,01";"executada";"saída";"300";"55,91";"1,12";"1,96";"336,00"
"8756752816";"06/02/2020 / 10:30:00";"MGLU3";"V";"300";"56,92";"executada";"entrada";"300";"57,03";"-";"-";"-"
"8756752813";"05/02/2020 / 16:50:00";"MGLU3";"C";"300";"57,48";"executada";"saída";"300";"57,40";"0,98";"1,68";"294,00"
"8756752807";"05/02/2020 / 12:15:00";"MGLU3";"V";"300";"58,26";"executada";"entrada";"300";"58,38";"-";"-";"-"
"8756752804";"31/01/2020 / 16:50:00";"MGLU3";"C";"300";"56,03";"executada";"saída";"300";"55,94";"0,32";"0,57";"96,00"
"8756752801";"31/01/2020 / 12:00:00";"MGLU3";"V";"300";"56,15";"executada";"entrada";"300";"56,26";"-";"-";"-"
"8756752795";"30/01/2020 / 16:50:00";"MGLU3";"C";"300";"55,41";"executada";"saída";"300";"55,30";"0,41";"0,74";"123,00"
"8756752789";"30/01/2020 / 12:45:00";"MGLU3";"V";"300";"55,61";"executada";"entrada";"300";"55,71";"-";"-";"-"
"8756752786";"29/01/2020 / 14:30:00";"MGLU3";"V";"300";"57,36";"executada";"saída";"300";"57,47";"-0,42";"-0,73";"-126,00"
"8756752783";"29/01/2020 / 13:00:00";"MGLU3";"C";"300";"58,00";"executada";"entrada";"300";"57,89";"-";"-";"-"
"8756752780";"29/01/2020 / 12:45:00";"MGLU3";"C";"300";"57,64";"executada";"saída";"300";"57,54";"-0,05";"-0,09";"-15,00"
"8756752774";"29/01/2020 / 11:30:00";"MGLU3";"V";"300";"57,36";"executada";"entrada";"300";"57,49";"-";"-";"-"
"8756752771";"27/01/2020 / 16:50:00";"MGLU3";"C";"300";"54,76";"executada";"saída";"300";"54,65";"-0,19";"-0,35";"-57,00"
"8756752765";"27/01/2020 / 13:15:00";"MGLU3";"V";"300";"54,36";"executada";"entrada";"300";"54,46";"-";"-";"-"
"8756752759";"27/01/2020 / 12:30:00";"MGLU3";"V";"300";"54,69";"executada";"saída";"300";"54,80";"-0,27";"-0,49";"-81,00"
"8756752756";"27/01/2020 / 11:45:00";"MGLU3";"C";"300";"55,19";"executada";"entrada";"300";"55,07";"-";"-";"-"
"8756752753";"24/01/2020 / 13:00:00";"MGLU3";"V";"300";"56,58";"executada";"saída";"300";"56,69";"-0,26";"-0,46";"-78,00"
"8756752747";"24/01/2020 / 12:15:00";"MGLU3";"C";"300";"57,06";"executada";"entrada";"300";"56,95";"-";"-";"-"
"8756752744";"24/01/2020 / 11:45:00";"MGLU3";"C";"300";"56,99";"executada";"saída";"300";"56,86";"-0,31";"-0,55";"-93,00"
"8756752738";"24/01/2020 / 11:30:00";"MGLU3";"V";"300";"56,43";"executada";"entrada";"300";"56,55";"-";"-";"-"
"8756752735";"23/01/2020 / 11:30:00";"MGLU3";"C";"300";"55,32";"executada";"saída";"300";"55,22";"0,05";"0,09";"15,00"
"8756752732";"23/01/2020 / 10:30:00";"MGLU3";"V";"300";"55,18";"executada";"entrada";"300";"55,27";"-";"-";"-"
"8756752726";"22/01/2020 / 16:50:00";"MGLU3";"C";"300";"55,69";"executada";"saída";"300";"55,57";"0,94";"1,66";"282,00"
"8756752723";"22/01/2020 / 11:45:00";"MGLU3";"V";"300";"56,40";"executada";"entrada";"300";"56,51";"-";"-";"-"
"8756752717";"21/01/2020 / 12:45:00";"MGLU3";"V";"300";"56,24";"executada";"saída";"300";"56,33";"-0,18";"-0,32";"-54,00"
"8756752711";"21/01/2020 / 10:45:00";"MGLU3";"C";"300";"56,62";"executada";"entrada";"300";"56,51";"-";"-";"-"
"8756752708";"17/01/2020 / 15:30:00";"MGLU3";"C";"300";"53,64";"executada";"saída";"300";"53,54";"-0,34";"-0,64";"-102,00"
"8756752705";"17/01/2020 / 12:00:00";"MGLU3";"V";"300";"53,11";"executada";"entrada";"300";"53,20";"-";"-";"-"
"8756752702";"16/01/2020 / 15:25:18";"MGLU3";"C";"300";"52,66";"executada";"saída";"300";"52,59";"1,78";"3,27";"534,00"
"8756752696";"16/01/2020 / 12:30:00";"MGLU3";"V";"300";"54,26";"executada";"entrada";"300";"54,37";"-";"-";"-"
"8756752690";"15/01/2020 / 12:45:00";"MGLU3";"V";"300";"53,76";"executada";"saída";"300";"53,88";"-0,32";"-0,59";"-96,00"
"8756752687";"15/01/2020 / 10:30:00";"MGLU3";"C";"300";"54,30";"executada";"entrada";"300";"54,20";"-";"-";"-"
"8756752681";"14/01/2020 / 16:50:00";"MGLU3";"C";"300";"53,95";"executada";"saída";"300";"53,84";"0,34";"0,63";"102,00"
"8756752678";"14/01/2020 / 11:45:00";"MGLU3";"V";"300";"54,07";"executada";"entrada";"300";"54,18";"-";"-";"-"
"8756752675";"13/01/2020 / 16:50:00";"MGLU3";"V";"300";"53,35";"executada";"saída";"300";"53,46";"1,03";"1,96";"309,00"
"8756752672";"13/01/2020 / 10:30:00";"MGLU3";"C";"300";"52,54";"executada";"entrada";"300";"52,43";"-";"-";"-"
"8756752669";"08/01/2020 / 16:50:00";"MGLU3";"V";"400";"49,79";"executada";"saída";"400";"49,89";"0,74";"1,51";"296,00"
"8756752663";"08/01/2020 / 14:00:00";"MGLU3";"C";"400";"49,24";"executada";"entrada";"400";"49,15";"-";"-";"-"
"8756752657";"07/01/2020 / 13:30:00";"MGLU3";"C";"400";"48,95";"executada";"saída";"400";"48,85";"0,02";"0,04";"8,00"
"8756752651";"07/01/2020 / 11:00:00";"MGLU3";"V";"400";"48,78";"executada";"entrada";"400";"48,87";"-";"-";"-"
"8756752648";"06/01/2020 / 16:50:00";"MGLU3";"V";"400";"48,68";"executada";"saída";"400";"48,80";"0,53";"1,10";"212,00"
"8756752645";"06/01/2020 / 11:45:00";"MGLU3";"C";"400";"48,39";"executada";"entrada";"400";"48,27";"-";"-";"-"
"8756752642";"03/01/2020 / 15:45:00";"MGLU3";"V";"400";"48,93";"executada";"saída";"400";"49,04";"-0,23";"-0,47";"-92,00"
"8756752639";"03/01/2020 / 11:30:00";"MGLU3";"C";"400";"49,32";"executada";"entrada";"400";"49,27";"-";"-";"-"
"8756752633";"02/01/2020 / 10:45:00";"MGLU3";"V";"400";"47,82";"executada";"saída";"400";"47,93";"-0,22";"-0,46";"-88,00"
"8756752627";"02/01/2020 / 10:30:00";"MGLU3";"C";"400";"48,24";"executada";"entrada";"400";"48,15";"-";"-";"-"
"8756752624";"30/12/2019 / 16:50:00";"MGLU3";"C";"400";"48,27";"executada";"saída";"400";"48,18";"0,37";"0,76";"148,00"
"8756752618";"30/12/2019 / 11:45:00";"MGLU3";"V";"400";"48,43";"executada";"entrada";"400";"48,55";"-";"-";"-"
"8756752615";"27/12/2019 / 16:50:00";"MGLU3";"C";"400";"48,54";"executada";"saída";"400";"48,45";"0,30";"0,62";"120,00"
"8756752612";"27/12/2019 / 10:45:00";"MGLU3";"V";"400";"48,65";"executada";"entrada";"400";"48,75";"-";"-";"-"
"8756752609";"26/12/2019 / 14:30:00";"MGLU3";"C";"400";"49,00";"executada";"saída";"400";"48,90";"0,00";"0,00";"0,00"
"8756752606";"26/12/2019 / 11:45:00";"MGLU3";"V";"400";"48,79";"executada";"entrada";"400";"48,90";"-";"-";"-"
"8756752594";"20/12/2019 / 16:50:00";"MGLU3";"C";"400";"48,30";"executada";"saída";"400";"48,20";"0,17";"0,35";"68,00"
"8756752591";"20/12/2019 / 11:00:00";"MGLU3";"V";"400";"48,26";"executada";"entrada";"400";"48,37";"-";"-";"-"
"8756752588";"16/12/2019 / 13:15:00";"MGLU3";"C";"400";"49,31";"executada";"saída";"400";"49,20";"-0,11";"-0,22";"-44,00"
"8756752585";"16/12/2019 / 11:00:00";"MGLU3";"V";"400";"48,97";"executada";"entrada";"400";"49,09";"-";"-";"-"
"8756752582";"12/12/2019 / 16:50:00";"MGLU3";"C";"400";"47,88";"executada";"saída";"400";"47,79";"0,13";"0,27";"52,00"
"8756752579";"12/12/2019 / 11:45:00";"MGLU3";"V";"400";"47,79";"executada";"entrada";"400";"47,92";"-";"-";"-"
"8756752576";"11/12/2019 / 16:50:00";"MGLU3";"V";"400";"47,36";"executada";"saída";"400";"47,47";"-0,31";"-0,65";"-124,00"
"8756752564";"11/12/2019 / 13:45:00";"MGLU3";"C";"400";"47,87";"executada";"entrada";"400";"47,78";"-";"-";"-"
"8756752561";"10/12/2019 / 10:45:00";"MGLU3";"C";"400";"46,20";"executada";"saída";"400";"46,09";"-0,64";"-1,41";"-256,00"
"8756752558";"10/12/2019 / 10:30:00";"MGLU3";"V";"400";"45,33";"executada";"entrada";"400";"45,45";"-";"-";"-"
"8756752555";"04/12/2019 / 16:50:00";"MGLU3";"C";"400";"44,23";"executada";"saída";"400";"44,12";"0,78";"1,74";"312,00"
"8756752552";"04/12/2019 / 12:30:00";"MGLU3";"V";"400";"44,79";"executada";"entrada";"400";"44,90";"-";"-";"-"
"8756752549";"03/12/2019 / 12:45:00";"MGLU3";"V";"400";"44,26";"executada";"saída";"400";"44,36";"-0,04";"-0,09";"-16,00"
"8756752543";"03/12/2019 / 12:30:00";"MGLU3";"C";"400";"44,52";"executada";"entrada";"400";"44,40";"-";"-";"-"
"8756752540";"02/12/2019 / 11:15:00";"MGLU3";"C";"400";"45,30";"executada";"saída";"400";"45,19";"-0,09";"-0,20";"-36,00"
